"slug","name","category_slugs","profile"
"1a2b","1A2B","puzzles",""
"25-pair-color-code","25对色码","other-cipher","25对色码是一种用于标识双绞线中各个导体的颜色代码。它由五种基本颜色和每个基本颜色里面的五种颜色顺序组成，总共包括25种颜色组合。这种颜色编码方式最初被称为偶数颜色代码，用于在贝尔系统的电话线缆中标记每根电缆中的导体。"
"36-stratagems","三十六计","literature-and-history","《三十六计》或称三十六策，是指中国古代三十六个兵法策略，语源于南北朝，成书于明清。它是根据中国古代军事思想和丰富的斗争经验总结而成的兵书。据原书“序言”说，在全书“三十六计”中，每六计为一套，共分六套：第一套为“胜战计”，第二套为“敌战计”，第三套为“攻战计”，第四套为“混战计”，第五套为“并战计”，第六套为“败战计”。"
"8-big-planet","八大行星","astronomy","指太阳系的八个大行星，按照离太阳的距离从近到远，它们依次为水星、金星、地球、火星、木星、土星、天王星、海王星。"
"9-keyboard","手机键盘","classical-cipher","又称九键键盘，是一种常用于手机的键盘类型。"
"acupoint","穴位","misc","中医上用于治疗疾病、调节身体各机能的特定点，也是人体经络系统中的重要组成部分。穴位可以通过按摩、针灸、拔罐等多种方式进行刺激，以达到调节身体机能、治疗疾病的目的。"
"ai-creation","AI制图","artificial-intelligence","AI制图是指利用人工智能技术来生成图像、插画、设计图等创意性作品的过程。AI制图的意义在于可以让创意更加灵动，减轻人们的重复劳动负担。现如今，AI制图已经成为越来越多创意从业者的选择之一，同时也得到了广泛的应用。"
"airport-code","机场代号","other-cipher","国际航空运输协会（IATA）对世界上的国家、城市、机场和加入国际航空运输协会的航空公司制定了统一的编码。"
"alchemical-symbols","炼金符号","misc","炼金符号是炼金术中的一种神秘符号，被用来表示不同的成分或概念。炼金术是一种古老的哲学和科学，旨在探索将普通金属转化为黄金或白银的过程。
炼金符号通常是由图形、线条和字母组成的复杂符号，被认为具有神秘的力量和意义。这些符号被用来代表不同的元素、化合物、矿物、金属等，以及炼金过程中的各种概念和步骤。"
"amino-acid","氨基酸","organism","氨基酸是含有氨基和羧基的有机化合物的通称，是构成动物营养所需蛋白质的基本物质。"
"anagram","Anagram","foreign-language","Anagram，源自希腊语，意为“重新排列”，是一种通过重新排列给定单词或短语中的字母来创造新词或短语的语言游戏。例如，将“listen”（听）重新排列得到“silent”（安静的）。"
"and-then-there-were-none","无人生还","novel","《无人生还》是一部非常经典的推理小说。这部小说讲述了一群人在孤岛上遭遇神秘谋杀事件的故事，情节曲折离奇，充满了悬念和惊险。"
"android-version","安卓版本","application","即由Google和开放手持设备联盟共同开发的移动设备操作系统Android的版本，通常以一种甜品作为代号。"
"anime-o-p","动漫片头曲","comic","它是一首流行于日本动漫的音乐形式，通常指动画和漫画的片头曲。"
"antarctic-scientific-research-station","南极科考站","misc","中国南极科考站包括中国南极长城站、中国南极中山站、中国南极昆仑站和中国南极泰山站。以及在恩克斯堡岛在建的第五个科考站中国南极罗斯海新站。"
"anti-tangent-code","反切码","chinese","“反切注音方法”出现于东汉末年，“反切码”是由戚继光在“反切注音方法”基础上发明的。"
"antonym","反义词","cn-en-wordplay","顾名思义，意思相反（整体或局部）"
"aquarium","水箱","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?aquarium"
"area-code","电话区号","other-cipher,geography","电话区号是指世界各大城市所属行政区域常用电话区划号码。"
"arknights","明日方舟","online-game","《明日方舟》是一款中国的策略游戏，玩家将扮演一位名为""博士""的角色，指挥一队名为""干员""的特种部队，在名为""泰拉""的世界中执行各种任务。游戏的核心玩法是通过策略和技能搭配来战胜敌人，同时收集资源和经验值来提升干员的能力和装备。"
"arrow-liang","向量","mathematics","向量是一种具有大小和方向的量，可以形象化地表示为带箭头的线段。箭头所指代表向量的方向，线段长度代表向量的大小。"
"arxiv","arXiv","misc","arXiv是一个收集物理学、数学、计算机科学、生物学与数理经济学论文预印本的网站，始于1991年8月14日。它允许学者在论文进行同行评议之前分享研究成果，是开放获取的先驱。截至2016年10月，提交率已达每月超过10000篇。"
"ascii","ASCII","classical-cipher","ASCII (American Standard Code for Information Interchange)：美国信息交换标准代码是基于拉丁字母的一套电脑编码系统，主要用于显示现代英语和其他西欧语言。它是最通用的信息交换标准，并等同于国际标准 ISO/IEC 646。ASCII第一次以规范标准的类型发表是在1967年，最后一次更新则是在1986年，到目前为止共定义了128个字符 。"
"atbash","埃特巴什密码","classical-cipher","这种密码是由熊斐特博士发现的。熊斐特博士为库姆兰《死海古卷》的最初研究者之一，他在《圣经》历史研究方面最有名气的著作是《逾越节的阴谋》。他运用这种密码来研究别人利用其他方法不能破解的那些经文。这种密码被运用在公元1世纪的艾赛尼/萨多吉/拿撒勒教派的经文中，用以隐藏姓名。"
"back-solve","反解","special",""
"bacon-cipher","培根密码","classical-cipher","培根密码，又名倍康尼密码，是一种隐写术，由法兰西斯·培根发明。它通过将明文中的每个字母转换成一组五个英文字母的加密方式，将信息隐藏在正常书写之下。在加密时，每个字母都可以用一个包含五个字母的集合来表示，这些字母由两个不同的字体表示。解密时，将这两个字体倒转，即使用第二个字体表示的字母替换第一个字体表示的字母，就可以还原出原来的字母，从而解密出密文所包含的信息。"
"battle-ship","战舰","riddle","一种纸笔谜题，规则参见 https://puzz.link/rules.html?battleship"
"beaufort-scale","风力等级","misc","风力等级，简称风级，是风强度的一种表示方法。风力是指风吹到物体上所表现出的力量的大小。根据风吹到地面或水面的物体上所产生的各种现象，风力大小一般分为13个等级，最小是0级，最大为12级。"
"bilibili","Bilibili","movie","Bilibili是一个中国著名的视频分享网站，成立于2010年。该网站以二次元、ACG文化和搞笑内容为主，拥有大量的原创内容和UP主，同时也聚集了大量的年轻人用户。Bilibili在移动端也有非常庞大的用户群体，是一个非常有活力的社区。除了视频分享外，Bilibili还提供了游戏、漫画、音乐、小说等多种内容和服务，成为了一个综合性的文化娱乐平台。"
"billiard","台球","athletic-item","台球（Billiard）又称桌球或者弹子球，是球类运动项目之一。是运动员在台球桌上用球杆，通过按照一定的规则击打主球，使其撞击目标球的一项体育项目。"
"binary","二进制","decimal","二进制（binary），是在数学和数字电路中以2为基数的记数系统，是以2为基数代表系统的二进位制。这一系统中，通常用两个不同的符号0（代表零）和1（代表一）来表示 。"
"binomial-nomenclature","双名法","organism","也称为双名法则、双名命名法，是瑞典生物学家卡尔·林奈创立的植物学名。双名法的名称由属名和种加词组成，属名通常采用名词单数第一格，种加词则一般用形容词，并要求与属名的性、数、格一致。书写形式是：属名的第一个字母必须大写，种加词全为小写，此外，还要求在种加词后写上命名人的姓氏或姓氏缩写，第一个字母也要大写。"
"black-box-reasoning","黑箱推理","reasoning","黑箱推理是指对特定的系统开展研究时，人们把系统作为一个看不透的黑色箱子，研究中不涉及系统内部的结构和相互关系，仅从其输入输出的特点了解该系统规律，用黑箱方法得到的对一个系统规律的认识。"
"bo-lai-ci","舶来词","chinese","舶来词是现代词，是一个专有名词，意思是指借词输入，是外来词的一种。"
"book-page-cipher","书页密码","other-cipher","书页密码是指在书的每一页上写入某种特定信息的加密方式。通常，书页密码包括将特定的符号或数字写在每一页的页脚、页眉、天头或地脚上，用以代表字母或单词，以此来传达信息。这种加密方式相对简单，易于理解和操作，但也容易被破解。"
"braille","盲文","classical-cipher","盲文或称点字、凸字，是专为盲人设计、靠触觉感知的文字。透过点字板、点字机、点字打印机等在纸张上制作出不同组合的凸点而组成，一般每一个方块的点字是由六点组成，左侧从上到下为123，右侧为456，叫一方。 它是由法国盲人路易·布莱叶于1824年创造的，故国际上通称为“布莱叶（Braille）”。"
"bugcat-capoo","猫猫虫","misc",""
"bungaku-shoujo","文学少女","novel","《文学少女》是日本轻小说家野村美月著作的轻小说系列书。"
"caesar-cipher","凯撒密码","classical-cipher","或称恺撒加密、恺撒变换、变换加密，是一种最简单且最广为人知的加密技术。它是一种替换加密的技术，明文中的所有字母都在字母表上向后（或向前）按照一个固定数目进行偏移后被替换成密文。"
"calculate","计算","mathematics",""
"calendar","日历密码","other-cipher","日历密码是一种基于日历的加密方式，它将一系列字符或数字按照特定的规则排列，形成一个密码。日历密码的原理是将每个字母或数字映射到一个特定的日期，然后通过在日历上查找相应的日期来解密或加密信息。"
"capture-the-flag","夺旗赛","information-technology","夺旗赛是一种常见的网络安全竞技形式，通常在网络安全技术竞赛中使用。参赛者在限定时间内需要解决一系列涉及密码学、逆向工程、漏洞利用、取证分析等领域的挑战，获取标志（flag）并提交得分。夺旗赛是一种具有挑战性的竞赛形式，需要参赛者具备扎实的网络安全知识和技能，以及快速解决问题的能力。"
"carcassonne","卡卡颂","table-game","卡卡颂是一款桌面游戏，玩家利用自己的随从占领大地上的城市、道路、草地、修道院等元素，获得更高的分数。名字来自于一个位于法国西南，以其城墙闻名的小镇。参加者扮演中古时代的君主，派手下的亲信去开疆拓土，亲信扮演不同的角色，去占领或管理领地。看谁的策略运用得当，就能赢得最后的胜利。"
"card-game","纸牌桌游","table-game","纸牌桌游是一种利用扑克牌或其他纸牌进行的游戏，通常需要玩家通过策略、判断和运气来赢得胜利。"
"cellular-automata","元胞自动机","mathematics","元胞自动机（Cellular Automata，简称CA），也有人译为细胞自动机、点格自动机、分子自动机或单元自动机等。"
"chang-tu-area-code","长途区号","geography","长途区号是指根据城市的行政范围划分，每个城市都会有一个对应的区号，主要用于国内和国际长途电话的拨打。"
"chemical-element","化学元素","chemistry","具有相同的核电荷数（核内质子数）的一类原子的总称。从哲学角度解析，元素是原子的质子数目发生量变而导致质变的结果。"
"chessboard","棋盘密码","classical-cipher","棋盘密码（Checkerboard Cipher）是一种使用一个波利比奥斯方阵和两个密钥作为密阵的替换密码。
这种密码使用一个5×5的棋盘，将26个英文字母放置在里面。其中，i和j共用一个密码。"
"chinese-character-","汉字分类","chinese",""
"chinese-character-code","中文电码","classical-cipher","中文电码，又称中文商用电码、中文电报码或中文电报明码，原本是于电报之中传送中文信息的方法。
中文电码表采用了四位阿拉伯数字作代号，从0001到9999按四位数顺序排列，用四位数字表示最多一万个汉字、字母和符号。汉字先按部首，后按笔划排列。字母和符号放到电码表的最尾。由于一万个汉字不足以应付户籍管理的要求，又有第二字面汉字的出现。"
"chinese-character-comprehensive","汉字综合","chinese",""
"chinese-character-form-phrases","汉字组词","chinese",""
"chinese-character-homophonic","汉字谐音","chinese",""
"chinese-character-pronunciation","汉字发音","chinese",""
"chinese-character-riddle","汉字字谜","chinese",""
"chinese-character-shape","汉字形状","chinese",""
"chinese-character-structure","汉字结构","chinese",""
"club-badge","俱乐部徽章","football","俱乐部徽章是一种代表俱乐部形象和文化的标志，通常由俱乐部的名称、标志性图案和字体等元素组成。俱乐部徽章的设计应该具有独特性和辨识度，能够让人们一眼就能认出该俱乐部的名称和形象。"
"coffee-types","咖啡种类","misc","由加入的配料决定，常见配料有水、牛奶、奶泡、奶油、椰浆等，常见分类有卡布奇诺、拿铁、摩卡等。"
"colour","颜色","misc","物体反射或发射光线的特定波长所呈现出的视觉特征。"
"compound-word","合成词","foreign-language","合成词是由两个或两个以上的词素组合而成的词。这些词素可以是单个的词，也可以是具有独立意义的语素。合成词的构成方式多种多样，常见的有名词+名词、形容词+名词、动词+名词、副词+动词、副词+形容词等。"
"conditional-reasoning","情境推理","reasoning","情境推理是指根据情境中提供的信息，通过分析和推理得出结论的思维方式。在解决实际问题时，人们经常需要通过观察、感知、理解和推断来推理出情境中的因果关系、逻辑关系和内在规律，从而作出正确的决策和行动。"
